PLT_CN,FPAG,STANDPLOT_CN
13003271010497,CFS2,13003271010497_2
13003271010497,CFS2,13003271010497_4
13003271010497,CFS2,13003271010497_3
13003592010497,CWS5,13003592010497_1
13003592010497,CWS5,13003592010497_2
13003592010497,CWS5,13003592010497_3
13003592010497,CWS5,13003592010497_4
13004916010497,CFS2,13004916010497_1
13004916010497,CFS2,13004916010497_2
13004916010497,CFS2,13004916010497_3
13004916010497,CFS2,13004916010497_4
13005723010497,CMS2,13005723010497_1
13005723010497,CMS2,13005723010497_2
13005723010497,CMS2,13005723010497_3
13005723010497,CMS2,13005723010497_4
13006851010497,CHS6,13006851010497_1
13006851010497,CHS6,13006851010497_2
13006851010497,CHS6,13006851010497_3
13006851010497,CHS6,13006851010497_4
13008009010497,CH,13008009010497_1
13008009010497,CH,13008009010497_3
13008009010497,CH,13008009010497_4
13008009010497,CH,13008009010497_2
13008616010497,CMS2,13008616010497_1
13008616010497,CMS2,13008616010497_2
13008616010497,CMS2,13008616010497_3
13008616010497,CMS2,13008616010497_4
13009244010497,CFS3,13009244010497_1
13009244010497,CFS3,13009244010497_2
13009244010497,CFS3,13009244010497_3
13009244010497,CFS3,13009244010497_4
13010748010497,CHF1,13010748010497_1
13010748010497,CHF1,13010748010497_2
13010748010497,CHF1,13010748010497_3
13010748010497,CHF1,13010748010497_4
13011085010497,CP,13011085010497_2
13011085010497,CP,13011085010497_3
13011085010497,CP,13011085010497_4
13011085010497,CP,13011085010497_1
13018219010497,CPG1,13018219010497_1
13018219010497,CPG1,13018219010497_2
13018219010497,CPG1,13018219010497_3
13018219010497,CPG1,13018219010497_4
13020784010497,CDG1,13020784010497_1
13020784010497,CDG1,13020784010497_2
13020784010497,CDG1,13020784010497_3
13020784010497,CDG1,13020784010497_4
13020972010497,CD,13020972010497_1
13020972010497,CD,13020972010497_2
13020972010497,CD,13020972010497_3
13020972010497,CD,13020972010497_4
13021550010497,CDG1,13021550010497_1
13021550010497,CDG1,13021550010497_2
13021550010497,CDG1,13021550010497_3
13021550010497,CDG1,13021550010497_4
13022083010497,CDS6,13022083010497_1
13022083010497,CDS6,13022083010497_2
13022083010497,CDS6,13022083010497_3
13022083010497,CDS6,13022083010497_4
13022606010497,CDG1,13022606010497_1
13022606010497,CDG1,13022606010497_2
13022606010497,CDG1,13022606010497_3
13022606010497,CDG1,13022606010497_4
13022840010497,CDG3,13022840010497_1
13022840010497,CDG3,13022840010497_2
13022840010497,CDG3,13022840010497_3
13022840010497,CDG3,13022840010497_4
13023123010497,CDG1,13023123010497_2
13023123010497,CDG1,13023123010497_3
