Value,Count,tl_id,CN,PredCN
5549,310.000000000000000,5549,12160602010690,12160602010690
6210,1.000000000000000,6210,188779040020004,188779040020004
6242,1.000000000000000,6242,35370654010690,35369252010690
8133,230.000000000000000,8133,273642029489998,273642029489998
8134,1.000000000000000,8134,216960533020004,216960533020004
8139,13.000000000000000,8139,345936707489998,345936707489998
8142,70.000000000000000,8142,22952986010497,22952986010497
8150,3.000000000000000,8150,273642916489998,273642916489998
8151,2975.000000000000000,8151,216961529020004,216961529020004
8152,16.000000000000000,8152,345936725489998,345936725489998
8155,166.000000000000000,8155,29880711010497,29880711010497
8159,192.000000000000000,8159,273642915489998,273642915489998
8166,33.000000000000000,8166,30764037020004,30764037020004
8171,9.000000000000000,8171,22930028010497,22930028010497
8183,1.000000000000000,8183,48205888010497,48205888010497
8188,7.000000000000000,8188,216960131020004,216960131020004
8200,3.000000000000000,8200,29394698010497,29394698010497
8224,10.000000000000000,8224,273641183489998,273641183489998
8266,4.000000000000000,8266,30763879020004,30763879020004
8279,2.000000000000000,8279,345935880489998,345935880489998
8320,121.000000000000000,8320,216958983020004,216958983020004
8330,32.000000000000000,8330,216961603020004,216961603020004
8331,200.000000000000000,8331,44541368020004,44541368020004
8338,1.000000000000000,8338,29394922010497,29394922010497
8346,47.000000000000000,8346,29880506010497,29880506010497
8356,1.000000000000000,8356,22953663010497,22953663010497
8359,35.000000000000000,8359,30761983020004,30761983020004
8365,39.000000000000000,8365,48205162010497,48205162010497
8369,3688.000000000000000,8369,30852639020004,30852639020004
8379,942.000000000000000,8379,44542394020004,44542394020004
8382,18.000000000000000,8382,22953685010497,22953685010497
8392,9.000000000000000,8392,8600844010901,8600844010901
8399,123.000000000000000,8399,29880493010497,29880493010497
8402,860.000000000000000,8402,22931971010497,30852264020004
8409,19.000000000000000,8409,30761992020004,30761992020004
8412,14.000000000000000,8412,29880223010497,29880223010497
8426,1.000000000000000,8426,22953278010497,22953278010497
8479,23.000000000000000,8479,216959706020004,216959706020004
8491,195.000000000000000,8491,30761878020004,30761878020004
8500,223.000000000000000,8500,30761611020004,216961738020004
8550,2155.000000000000000,8550,22931610010497,22931610010497
8567,28.000000000000000,8567,345933341489998,345933341489998
8586,13.000000000000000,8586,44540536020004,44540536020004
8592,14.000000000000000,8592,40218368010497,40218368010497
8607,19.000000000000000,8607,216961738020004,216961738020004
8612,162.000000000000000,8612,44542445020004,44542445020004
8637,2.000000000000000,8637,22953071010497,22953071010497
8671,88.000000000000000,8671,48203909010497,22931941010497
8732,1.000000000000000,8732,345934857489998,44542394020004
8748,1.000000000000000,8748,22953473010497,22953473010497
8771,14.000000000000000,8771,40218639010497,40218639010497
8984,2.000000000000000,8984,22953341010497,22953341010497
9000,1.000000000000000,9000,44542767020004,44542767020004
9109,4.000000000000000,9109,30761910020004,30761910020004
9160,7.000000000000000,9160,22953135010497,22953135010497
9171,29.000000000000000,9171,345935935489998,345935935489998
9187,177.000000000000000,9187,216958724020004,216958724020004
9196,13.000000000000000,9196,48203312010497,48203312010497
9202,104.000000000000000,9202,30762275020004,30762275020004
